,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
139595,0,0.023950398,45,0,908.5,1.0,12,0,2,0,2.0
111895,0,0.532416195,82,0,0.452741759,6400.0,8,0,3,0,0.0
136672,0,0.139283281,62,0,0.4728864219999999,4683.0,20,0,1,0,1.0
108370,0,0.6641270369999999,47,0,0.6323982489999999,6166.0,5,0,2,0,0.0
118084,0,0.9999999,65,0,0.172137078,15202.0,4,0,2,0,0.0
63332,0,0.098576353,38,0,0.207654415,7916.0,5,0,1,0,5.0
68778,0,0.705986281,46,2,0.124983147,7416.0,4,0,0,0,2.0
88279,1,0.915582442,70,0,0.75788761,7384.0,18,0,3,0,0.0
120529,0,0.44557052,58,0,0.344126984,15749.0,14,0,1,0,0.0
101058,1,0.9999999,32,0,0.0,5000.0,1,0,0,0,0.0
25912,0,0.9999999,36,0,0.0994751309999999,4000.0,5,0,0,0,0.0
141937,0,0.001589825,48,0,0.2982253089999999,5183.0,7,0,1,0,4.0
144312,0,0.1840416189999999,47,0,0.402612827,5051.0,5,0,1,0,1.0
17678,0,0.474733815,63,0,0.475824528,6245.0,13,0,2,0,0.0
49274,0,0.584471603,39,0,0.51395252,2400.0,8,0,0,0,0.0
10512,0,0.0,63,0,0.4363446109999999,8600.0,6,0,1,0,0.0
95113,0,0.3772647320000001,43,3,0.707087672,2976.0,19,0,2,1,1.0
12810,0,0.121300445,53,1,0.265365724,7532.0,16,0,1,0,1.0
5531,0,0.847263192,31,0,0.2043182729999999,2500.0,12,0,0,0,0.0
96942,0,0.35037287,53,0,0.174959093,16500.0,15,0,2,0,2.0
83048,0,0.2809047869999999,29,0,0.134511914,1300.0,4,1,0,0,0.0
137134,0,0.326395337,48,0,0.278475605,11702.0,12,0,1,0,1.0
23276,0,0.4352435579999999,56,0,0.384765055,20557.0,21,0,5,0,2.0
140195,0,0.9999999,32,0,0.0,7800.0,0,0,0,0,0.0
147578,0,0.566613662,62,0,0.174282572,10000.0,4,0,0,0,1.0
101012,0,0.285888273,35,0,0.189459337,2200.0,6,0,0,0,0.0
92223,0,0.195824886,56,0,0.2241642389999999,7208.0,9,1,2,0,0.0
92278,0,0.951850088,39,0,0.284847677,15000.0,15,0,2,0,2.0
43288,0,0.0561858199999999,54,0,0.304429341,12800.0,14,0,2,0,1.0
104764,0,0.8814241909999998,68,0,0.423910663,4566.0,8,0,1,0,0.0
49243,0,0.785131837,59,0,0.8242347740000002,3168.0,8,0,1,0,0.0
36806,0,0.002437114,74,0,0.067993524,10500.0,15,0,1,0,0.0
43912,0,0.9999999,53,0,0.2996667519999999,3900.0,8,0,0,0,2.0
2276,0,0.018401824,43,0,0.4822942639999999,4009.0,7,0,1,0,0.0
147555,1,1.002920225,52,0,0.264631043,2750.0,6,0,0,0,0.0
44902,0,0.0078562079999999,40,0,0.2829268289999999,2254.0,9,0,0,0,1.0
131770,0,0.57691005,50,0,0.3778031709999999,7000.0,7,0,2,0,2.0
64888,0,0.066046698,64,0,0.24225051,10290.0,4,0,2,0,0.0
41302,0,0.9999999,68,0,0.3054419629999999,3178.0,3,0,0,0,0.0
20087,0,0.131499324,37,0,0.3652521659999999,4500.0,13,0,1,0,1.0
10367,0,0.9999999,31,0,0.3844615539999999,10000.0,6,0,3,0,1.0
24303,0,0.407772815,66,0,0.2464448619999999,7453.0,5,0,2,0,2.0
13306,1,0.720252769,48,0,1.309563479,3000.0,13,0,2,0,0.0
140040,0,0.6492233849999999,32,2,0.283633248,3500.0,8,0,0,0,0.0
115222,0,0.0688856559999999,50,0,0.2109908259999999,23000.0,27,0,2,0,1.0
105441,0,0.1408282959999999,50,0,0.102223268,8500.0,17,0,0,0,3.0
93939,0,0.057594125,40,0,0.3288608259999999,3800.0,10,0,0,0,0.0
40259,0,0.053077877,65,0,0.1413065189999999,15016.0,7,0,2,0,0.0
130466,1,0.9999999,41,1,0.3892769820000001,5725.0,5,0,2,0,2.0
33173,0,0.001023232,72,0,0.000282646,3537.0,6,0,0,0,1.0
83061,0,0.4086591339999999,38,0,1.549960032,1250.0,7,0,1,0,3.0
29912,0,0.0,41,0,0.585269981,14500.0,17,0,2,0,1.0
80801,0,0.0230972899999999,35,0,0.0898183639999999,6000.0,7,0,0,0,2.0
104728,0,0.0022767769999999,64,0,0.1858870579999999,10500.0,7,0,2,0,0.0
56099,0,0.0,55,0,0.345303478,7100.0,3,0,2,0,3.0
68627,1,1.309612984,23,1,0.331138288,2125.0,4,0,0,0,1.0
34800,0,0.0263435189999999,54,0,0.143387604,3500.0,7,0,0,0,3.0
145318,0,0.011997973,68,0,0.167642439,7002.0,17,0,1,0,0.0
5119,0,0.334424628,74,1,0.1309399099999999,10500.0,19,0,0,0,0.0
46366,0,0.0738083029999999,69,0,0.0535752099999999,14166.0,12,0,0,0,0.0
149773,0,0.002212672,78,0,0.0085547049999999,2220.0,3,0,0,0,0.0
145604,0,0.0458256959999999,88,0,0.0033319449999999,2400.0,1,0,0,0,0.0
86769,0,0.0,54,0,0.116294568,3000.0,9,0,0,0,0.0
124410,0,0.9999999,30,0,0.245644102,3500.0,6,0,0,0,0.0
118706,0,0.2385360649999999,67,0,0.313285397,14880.0,18,0,4,0,0.0
7504,1,0.9999999,59,1,0.966726619,1111.0,0,4,0,1,2.0
100681,0,0.127824294,59,0,0.3230983069999999,7913.0,24,0,2,0,0.0
36050,1,0.873250269,30,0,0.503749375,6000.0,9,0,1,0,0.0
69922,0,0.216395035,61,2,0.259108806,16000.0,14,0,1,0,0.0
147541,0,0.1820670889999999,47,0,0.421345811,8975.0,12,0,3,0,2.0
19171,0,0.0429134109999999,82,0,0.110087903,7166.0,12,0,1,0,0.0
124855,0,0.250895171,68,0,0.171331828,26579.0,12,0,2,0,0.0
43774,1,0.9999999,43,4,0.857017158,2272.0,5,0,2,0,2.0
24581,0,0.2754023429999999,33,0,0.123261522,3666.0,5,0,0,0,0.0
70616,0,0.0015332309999999,55,0,0.026901052,7508.0,6,0,0,0,1.0
125864,0,0.9999999,78,1,0.0698662669999999,8000.0,6,0,1,0,0.0
131175,0,0.076371516,60,0,0.192917055,7510.0,6,0,0,0,0.0
36036,0,0.0,25,1,0.1145161289999999,3099.0,2,0,0,0,0.0
117794,0,0.2548820729999999,59,0,0.072947914,7333.0,2,0,0,0,2.0
113991,0,0.12767785,63,0,0.1627237699999999,20500.0,13,0,2,0,0.0
21535,0,0.029226242,65,0,0.268698504,12500.0,18,0,4,0,1.0
134088,0,0.9999999,45,2,0.3961890619999999,4040.0,3,2,1,3,2.0
6775,0,0.7732267729999999,34,3,1.367380026,3083.0,5,0,1,0,0.0
89060,0,0.0053268209999999,29,0,0.1858949789999999,2608.0,10,0,0,0,0.0
72916,0,0.8900687069999998,31,1,0.5520890149999998,9166.0,10,0,2,0,0.0
80600,0,0.8962874059999999,56,0,0.178462227,13408.0,8,0,0,0,4.0
61982,0,0.042775868,45,0,0.3795401529999999,3000.0,5,0,1,0,0.0
64344,1,1.015140045,54,2,0.227517294,1300.0,2,0,0,0,1.0
121915,0,0.807038592,65,0,0.124349636,1921.0,1,0,0,0,0.0
106088,0,0.151936128,52,0,0.408094705,6250.0,12,0,1,0,0.0
15060,0,0.339647439,71,0,1.005451987,5685.0,12,0,2,0,0.0
85214,0,0.35078976,32,0,0.3123687629999999,10000.0,10,0,2,0,0.0
131192,0,0.0303588849999999,79,0,0.6865512649999999,3754.0,17,0,2,0,1.0
19136,0,0.1415595269999999,42,0,0.275835545,26000.0,13,0,2,0,1.0
121612,1,0.181936428,37,0,0.326243069,11000.0,9,0,1,0,5.0
107761,0,0.0217129289999999,45,0,0.148570808,9200.0,9,0,2,0,3.0
6972,0,0.7521072199999999,34,1,0.4309784820000001,4925.0,10,0,0,0,0.0
110051,0,0.2355289419999999,45,1,0.0750838929999999,2383.0,3,1,0,1,0.0
51121,0,0.9003165779999999,55,1,0.2883050449999999,4300.0,14,0,0,0,0.0
137249,0,0.101953214,48,0,0.6641592229999999,6380.0,13,0,4,0,0.0
29334,0,0.7802861789999999,41,0,0.7249626309999998,2675.0,9,0,1,0,0.0
123307,0,0.0,59,0,0.152975048,5209.0,5,0,0,0,0.0
130887,0,1.059834604,43,2,0.116095988,10542.0,4,0,0,0,0.0
137815,1,0.7749252079999999,40,0,3.760078023,1537.0,18,0,2,0,2.0
60863,0,0.0,62,0,0.365126975,5000.0,7,0,1,0,0.0
27595,0,0.0103464649999999,56,0,0.005554321,4500.0,11,0,0,0,0.0
89353,0,0.114584743,45,0,1.308269173,10000.0,16,0,7,0,6.0
4474,0,0.0010073839999999,64,0,0.106654301,12938.0,8,0,1,0,0.0
108520,0,0.868139194,51,1,1936.0,0.0,9,0,2,0,4.0
134850,0,0.303463036,40,0,0.260313275,12895.0,14,0,1,0,2.0
56641,0,0.0631617159999999,50,0,1.242888403,8225.0,14,0,3,0,0.0
50376,0,0.256305703,74,0,0.3488372089999999,5976.0,12,0,2,0,1.0
61860,0,0.402549788,38,0,0.230332922,8109.0,4,0,0,0,2.0
147333,0,0.408482503,28,0,0.445982235,4840.0,15,0,2,0,2.0
122371,0,0.0957528769999999,62,0,0.05589688,8300.0,18,0,0,0,0.0
110801,1,0.9999999,34,0,0.0,2494.0,0,0,0,0,2.0
12906,0,0.0,57,0,0.109931293,1600.0,3,0,0,0,0.0
37543,0,0.8386528609999998,53,0,0.372635614,12000.0,8,0,2,0,0.0
15176,0,0.2612738729999999,77,0,0.035755479,2600.0,5,0,0,0,1.0
49284,1,0.9999999,49,3,1.630205441,1800.0,5,1,2,1,1.0
40527,0,0.029578566,63,0,0.2458681899999999,4900.0,12,0,1,0,0.0
130947,0,0.3767035229999999,56,3,0.218746926,10166.0,11,0,1,0,0.0
29183,0,0.1657765019999999,48,0,0.308093606,6708.0,10,0,1,0,3.0
69260,0,0.1259624679999999,69,0,0.309335253,4166.0,5,0,1,0,0.0
110158,1,0.9999999,51,0,0.57152343,10541.0,6,1,2,3,3.0
140418,0,0.723202695,30,0,12.31840796,200.0,9,0,2,0,0.0
134898,0,0.0816807509999999,46,0,0.210708578,7507.0,3,0,1,0,0.0
77719,0,0.133320721,75,0,0.0246625559999999,6000.0,11,0,0,0,0.0
45555,0,0.0469714999999999,48,0,0.0718403199999999,25500.0,9,0,2,0,2.0
101661,0,0.0,57,0,0.5741454639999999,3890.0,9,0,1,1,0.0
689,0,0.023114333,64,0,0.5135402909999999,9083.0,16,0,3,0,0.0
141377,1,0.991648041,26,1,0.093287948,9400.0,7,0,0,0,1.0
106182,0,0.186741196,51,0,0.498942229,6144.0,14,0,2,0,1.0
92305,1,0.304845568,49,0,0.5358242939999999,7466.0,14,0,2,0,5.0
1462,0,0.2129574089999999,61,0,0.49910018,5000.0,4,0,2,0,0.0
121635,0,0.08239588,40,0,1.1227508999999998,2500.0,6,0,1,0,2.0
50254,0,0.986473241,35,0,0.4233194889999999,6500.0,9,0,1,0,2.0
56448,0,0.9999999,73,0,0.0689310689999999,1000.0,5,0,0,0,0.0
137986,0,0.4943670419999999,75,2,1.304882737,2600.0,4,0,2,0,0.0
125103,0,0.0082350089999999,58,0,0.468265867,2000.0,3,0,1,0,1.0
80389,0,0.585094327,58,0,0.087728068,4000.0,13,0,0,0,0.0
45883,0,0.0253539529999999,53,0,0.2616532879999999,7100.0,14,0,1,0,0.0
60506,0,0.9999999,29,0,0.0,3208.0,0,0,0,0,2.0
95828,0,0.5168128429999999,56,0,0.267462423,15833.0,12,0,2,0,0.0
65050,0,0.017106148,64,0,0.1777701069999999,11587.0,25,0,1,0,0.0
140639,0,0.8336917959999999,60,0,0.640071986,6667.0,11,0,1,0,0.0
73405,0,0.4259322429999999,51,0,0.24837424,14300.0,14,0,2,0,2.0
8522,0,0.0,84,0,0.0,3006.0,3,0,0,0,0.0
110676,0,0.0,61,0,0.1460976549999999,2600.0,3,0,0,0,0.0
6425,0,0.413298009,33,0,0.241956008,5500.0,11,0,0,0,0.0
17119,0,0.002916606,62,0,0.104847157,10500.0,13,0,1,0,0.0
122512,0,0.4838435370000001,40,0,0.1184802529999999,6000.0,9,0,0,0,2.0
117704,0,0.453253879,62,0,0.232704403,6200.0,6,0,2,0,0.0
124036,0,0.426956777,70,0,2.116352201,6041.0,17,0,4,0,1.0
6003,0,0.7905009129999998,39,1,0.7768389659999998,4023.0,11,0,1,0,0.0
117381,0,0.4976705069999999,56,0,1.997255261,1092.0,14,0,0,0,0.0
134306,0,0.049020976,65,0,0.313958139,7500.0,4,0,1,0,0.0
18388,0,0.0,28,0,0.0829685629999999,5025.0,3,0,0,0,0.0
87428,0,0.407039531,48,0,0.291163689,8283.0,12,0,2,0,0.0
73298,0,0.5476377949999999,39,0,0.928571429,3219.0,11,0,1,0,1.0
112542,0,0.067986403,80,0,0.0063816209999999,1566.0,2,0,0,0,0.0
81536,0,0.30649215,42,0,0.690513219,10930.0,13,0,4,0,0.0
130363,0,0.912653718,30,1,0.554893194,2012.0,5,0,1,0,0.0
135589,0,0.428774664,55,0,0.3582937139999999,7571.0,10,0,1,0,0.0
50102,0,0.0843196859999999,48,0,0.3119392679999999,10142.0,7,0,2,0,1.0
24388,0,0.110290943,57,0,0.04226361,5583.0,8,0,0,1,0.0
63435,0,0.2874513919999999,80,0,0.6839546190000001,1850.0,8,0,1,0,0.0
129420,0,0.0,38,0,0.0,4166.0,8,0,0,0,1.0
17456,0,0.315937421,52,0,1.541847489,1612.0,11,0,1,0,2.0
42763,0,0.0701367509999999,47,0,0.1383004049999999,4200.0,11,0,1,0,1.0
75171,0,0.336850768,67,0,0.298203135,7846.0,7,0,1,0,0.0
82306,0,0.0105148329999999,82,0,0.051581262,5912.0,6,0,1,0,0.0
88400,0,0.1254271399999999,69,0,0.346108982,6000.0,10,0,1,0,1.0
109000,0,0.0,62,0,0.2074168329999999,5500.0,7,1,1,0,1.0
95373,0,0.127745985,64,0,0.29129979,9539.0,11,0,3,0,0.0
92334,0,0.136293185,56,0,0.401239451,7583.0,6,0,2,0,0.0
109884,0,0.9999999,27,98,0.0,1984.0,0,98,0,98,0.0
51473,0,0.00222214,50,0,0.210875332,15833.0,8,0,2,0,5.0
117811,0,0.106148673,56,0,0.290214477,8951.0,5,0,1,0,1.0
44576,0,0.0,28,0,0.180409795,2000.0,7,0,0,0,0.0
107362,0,0.983446769,62,1,0.271049596,2600.0,5,1,0,0,1.0
27114,1,0.9999999,33,0,0.0,2912.0,1,5,0,0,0.0
105991,0,0.0321990799999999,73,0,33.0,0.0,4,0,0,0,0.0
114304,0,0.149192779,54,0,0.402225893,11500.0,20,0,2,0,0.0
122049,0,0.1186813709999999,33,0,0.2273653029999999,5400.0,13,0,2,0,0.0
79398,0,0.025971252,50,0,0.108346568,5666.0,13,0,0,0,0.0
14934,0,0.9999999,32,0,0.2702803739999999,2674.0,3,0,0,0,2.0
33788,1,0.0003529269999999,73,0,0.214317943,6648.0,14,1,0,0,0.0
90751,0,0.240310388,37,0,0.071971212,2500.0,2,0,0,0,0.0
44029,0,0.02596891,56,0,0.247197819,3300.0,4,0,1,0,0.0
120398,0,0.60885237,57,0,0.3879030239999999,4000.0,7,0,0,0,0.0
82318,0,0.0555580389999999,46,0,0.094657637,13289.0,12,0,1,0,1.0
92253,0,0.569721514,38,0,0.4699277029999999,6500.0,5,0,2,0,2.0
87671,0,0.0543322009999999,40,0,0.2488335929999999,4500.0,6,0,1,0,2.0
106985,0,0.600466511,42,1,0.131108104,6650.0,7,0,0,1,2.0
31795,1,0.0890005469999999,65,0,0.0793157079999999,4500.0,5,0,0,0,1.0
43978,0,0.0623362729999999,58,0,0.4273316059999999,7719.0,24,0,3,0,0.0
79112,0,0.0,28,0,0.0,2000.0,2,0,0,0,0.0
71037,0,0.011017981,70,0,0.0408163269999999,15924.0,7,0,0,0,0.0
73568,0,0.4076944699999999,66,1,0.463593603,10629.0,14,0,1,0,0.0
916,0,0.3972441609999999,25,0,0.2948525739999999,2000.0,5,0,0,0,0.0
3040,0,0.0,23,0,0.0,0.0,2,0,0,0,0.0
88996,0,0.4261877220000001,41,0,0.4126984129999999,5417.0,7,0,1,1,4.0
117737,1,0.8493342309999998,49,4,0.615397434,6000.0,9,2,2,0,0.0
88088,0,0.0357771149999999,64,0,0.0129784429999999,9091.0,16,0,0,0,0.0
79590,0,0.491642458,41,0,2847.0,0.0,11,0,1,1,2.0
34748,0,0.0,62,0,0.0,9606.0,10,0,0,0,0.0
105012,0,0.288493849,50,0,0.2723989159999999,9966.0,14,0,1,0,0.0
136147,0,0.128552481,69,0,0.260259179,8333.0,11,0,1,0,0.0
110228,0,0.980957587,45,2,0.7225703240000001,7500.0,13,0,2,0,0.0
86035,0,0.044562125,70,0,0.009750679,8101.0,4,0,0,0,0.0
105545,0,0.010748656,76,0,0.0005261769999999,3800.0,9,0,0,0,0.0
112887,0,0.072676709,38,0,0.1781528869999999,9300.0,14,0,1,0,1.0
47509,0,0.3197140399999999,62,0,0.3484430049999999,10500.0,10,0,2,0,0.0
66929,1,0.0630493129999999,94,1,20809.0,0.0,13,1,0,1,0.0
95557,0,0.982869379,77,0,0.029673591,1347.0,4,0,0,0,0.0
45548,0,0.169383062,28,0,0.008538251,5855.0,4,0,0,0,0.0
45858,0,0.3641155689999999,70,0,0.27992937,8494.0,10,0,1,0,0.0
30824,0,0.0390676179999999,45,0,0.098687122,6778.0,6,0,0,0,3.0
85249,0,0.0,66,0,0.2465878069999999,17583.0,12,0,2,0,1.0
58548,0,0.3022088889999999,35,1,0.0742957229999999,6850.0,6,0,0,3,1.0
61520,0,0.114795408,48,0,0.359165184,6180.0,3,0,1,0,0.0
115567,0,0.9999999,32,0,0.330889703,3000.0,3,0,1,0,0.0
98530,0,0.019159234,47,0,0.427747886,2601.0,7,0,2,0,3.0
33104,0,0.0313874359999999,29,0,63.0,1.0,4,0,0,0,0.0
124689,0,0.165041515,58,0,0.3118751519999999,4100.0,18,0,1,0,1.0
61408,1,0.9460816700000002,59,0,0.8359914309999998,4200.0,14,0,1,0,1.0
83047,0,0.6798608359999999,48,0,0.662079346,9300.0,13,0,1,0,0.0
55219,0,0.676640258,63,0,723.0,0.0,6,0,0,0,0.0
51949,0,0.0217106289999999,44,0,0.212718546,5833.0,8,0,1,0,1.0
102652,0,0.200369991,37,0,0.4040671969999999,7916.0,8,0,2,0,0.0
11613,0,0.149332047,42,0,0.2236645029999999,2002.0,7,0,0,0,0.0
87221,0,0.382649988,45,0,0.4705463859999999,7027.0,10,0,1,0,1.0
44939,0,0.9999999,22,0,133.0,0.0,1,0,0,0,0.0
85949,0,0.087869078,44,0,1.10010587,8500.0,17,0,4,0,0.0
55280,0,0.0,69,0,0.921515562,1477.0,11,0,3,0,0.0
58683,0,0.0,57,1,0.8358776079999999,15000.0,10,0,3,0,1.0
89435,0,0.0252948009999999,61,0,0.359261142,5900.0,11,0,1,0,0.0
133941,0,0.0968171969999999,54,0,0.104514533,4850.0,2,0,1,0,0.0
133350,0,0.0,44,0,0.3650395519999999,5182.0,5,0,1,0,0.0
69574,0,0.084295753,56,0,0.473714054,12344.0,8,0,3,0,2.0
41982,0,0.0956795019999999,55,1,1.213261649,1115.0,8,0,1,0,0.0
7959,0,0.0534796219999999,62,0,0.0417133889999999,8917.0,7,0,0,0,0.0
70116,0,0.031670925,26,0,0.020970874,2574.0,5,0,0,0,0.0
69673,0,0.1425714469999999,35,0,0.195451137,4000.0,4,0,0,0,0.0
146349,0,0.20455545,39,0,0.3192437049999999,11000.0,10,0,1,0,1.0
29061,0,0.615375536,57,1,0.43967376,10666.0,13,0,2,0,1.0
106706,0,0.0,63,0,0.433008526,3283.0,10,0,1,0,0.0
33476,0,0.566102294,50,0,0.357341956,8968.0,9,0,2,0,2.0
113103,0,0.9999999,23,0,0.0,770.0,0,1,0,0,0.0
121286,0,0.0043032749999999,63,0,0.8680879409999998,1500.0,18,0,2,0,0.0
92164,0,0.547645973,44,0,0.30311483,2150.0,8,0,0,0,3.0
31629,0,0.236020167,62,0,0.4419320099999999,6500.0,14,0,1,0,0.0
136918,0,0.00164693,52,0,0.1491701659999999,5000.0,5,0,0,0,0.0
71662,0,0.0241613359999999,61,1,0.416083417,7000.0,9,0,1,0,0.0
144499,0,0.234485093,38,0,0.56275498,8333.0,7,0,2,0,0.0
58177,0,0.6500119039999999,41,0,0.337192779,19000.0,9,0,2,0,0.0
40542,0,0.9999999,45,0,0.979841613,4166.0,8,0,2,0,0.0
23573,0,0.669484556,37,0,0.682256597,5494.0,9,0,3,0,3.0
77705,0,0.0,76,0,0.139161113,2550.0,7,0,0,0,0.0
135884,0,0.471613573,74,0,0.37255744,4656.0,6,0,2,0,0.0
72041,1,0.820907955,49,1,0.5842044129999999,1721.0,5,0,0,0,0.0
105424,0,0.1515753099999999,60,0,0.375842761,8750.0,6,0,1,0,0.0
91848,1,0.0705467369999999,55,0,0.2768166089999999,2600.0,9,0,0,0,0.0
136724,0,0.124352551,70,0,0.0711715309999999,2500.0,6,0,0,0,0.0
11249,0,0.00565689,69,0,0.006458558,928.0,4,0,0,0,0.0
74451,0,0.2739553719999999,53,0,1.108803165,1010.0,19,0,1,0,1.0
88895,0,0.029735277,60,0,0.2413848889999999,6180.0,11,0,2,0,1.0
88865,0,0.046443394,43,0,0.1819480149999999,3500.0,14,0,0,0,0.0
124139,0,0.0117269709999999,62,0,0.0031995729999999,7500.0,12,0,0,0,0.0
109323,0,0.4159968629999999,29,0,0.479828633,2800.0,5,0,1,0,0.0
24417,0,0.6757316179999999,59,0,0.6497140519999999,9791.0,12,0,1,0,0.0
31664,0,0.0073738349999999,68,0,0.213453329,8666.0,10,0,1,0,0.0
41359,0,0.4891925469999999,48,0,0.387089033,4166.0,8,0,1,0,1.0
137968,0,0.0308484579999999,27,0,0.260855983,3200.0,4,0,1,0,0.0
31412,0,0.283810155,81,0,0.1840016489999999,9700.0,9,0,1,0,0.0
69745,0,0.9999999,41,1,0.118669854,4600.0,2,2,0,0,3.0
8575,0,0.0977451129999999,32,0,0.319301848,7791.0,2,0,1,0,0.0
63588,0,0.447398803,70,0,0.3563218389999999,7220.0,6,0,2,0,0.0
145958,0,0.008586695,81,0,0.2060199309999999,4916.0,14,0,1,0,0.0
11711,0,0.95015768,41,0,0.123410941,7000.0,5,0,0,0,0.0
96327,0,0.3414736099999999,34,1,0.4573452419999999,3246.0,16,0,1,0,4.0
16285,0,0.879725588,47,1,0.076389815,7500.0,19,0,0,1,2.0
52570,0,0.384972601,49,4,1.872606162,1200.0,17,0,1,0,1.0
65078,0,0.207288994,45,0,0.400170285,4697.0,6,0,1,0,0.0
85706,0,1.009925741,53,0,0.439404848,4166.0,10,0,1,0,0.0
135945,0,0.043646789,61,0,0.226181412,19700.0,15,0,1,0,1.0
16710,0,0.033680686,51,0,0.0846339499999999,6214.0,14,0,1,0,0.0
146336,0,0.262030698,56,0,0.298577833,12937.0,8,0,2,0,0.0
94947,0,0.169468121,36,0,3949.0,1.0,4,0,2,0,0.0
5401,0,0.012541948,57,0,0.323419145,4000.0,7,0,1,0,0.0
85070,0,0.325415101,37,2,0.014550746,5497.0,2,0,0,0,2.0
42224,0,0.018288499,60,0,0.6255703329999999,10300.0,18,0,4,0,2.0
36167,0,0.0,59,0,3.067961165,1029.0,7,0,1,0,0.0
94301,0,0.9999999,43,3,0.699003067,2607.0,3,1,1,0,2.0
108053,0,0.214546957,82,0,2.105990783,650.0,19,0,1,0,0.0
132905,0,0.0589638779999999,81,2,0.1149770049999999,5000.0,18,0,0,0,0.0
146861,0,0.2813480509999999,43,0,0.0947985529999999,8016.0,4,0,0,0,4.0
112167,0,0.191967474,31,0,0.2736126139999999,6468.0,7,0,1,0,0.0
79132,0,0.9999999,48,1,0.050987253,4000.0,2,0,0,0,0.0
129307,0,0.5060734519999999,50,0,0.5799033489999998,6000.0,20,0,1,0,0.0
133715,0,0.0088829559999999,74,1,0.090378198,3595.0,17,0,0,0,0.0
1867,0,0.1055563489999999,45,0,0.222071349,8100.0,5,0,2,0,2.0
100516,0,2.094452774,35,0,0.12126839,7000.0,6,0,0,0,2.0
112653,0,0.57029068,46,0,1.5788514130000002,2193.0,10,0,1,0,3.0
100385,0,0.10826726,36,0,0.2398753889999999,9950.0,16,0,2,0,2.0
82428,0,0.2113144959999999,55,2,0.751258462,5760.0,12,0,3,0,0.0
89012,0,0.166827952,38,0,0.31455712,12000.0,8,0,3,0,0.0
37028,0,0.002274421,72,0,0.1175507529999999,3053.0,4,0,1,0,0.0
96679,0,0.3605427529999999,50,0,0.425614877,3333.0,8,0,0,0,2.0
69455,0,0.0,81,0,0.339766379,1968.0,7,0,1,0,0.0
63850,0,0.11036947,47,0,0.0312546289999999,6750.0,14,0,0,0,0.0
69203,0,0.033461062,54,0,0.194295736,10833.0,15,0,1,0,1.0
108926,0,0.0,69,0,0.0,3720.0,4,0,0,0,0.0
138342,0,0.44125267,38,0,0.8834853090000002,2960.0,8,0,2,0,4.0
14248,0,0.022381074,47,0,0.1784702549999999,6000.0,9,0,1,0,0.0
15114,0,0.033425388,81,0,0.001853225,5395.0,5,0,0,0,0.0
8940,0,0.0759532659999999,58,0,0.085304743,8580.0,8,0,0,0,0.0
